id,functional_area,det,date,status,title
45,Information,Det 2,11/19/2019,Active,justo pellentesque viverra pede
46,Physical,Det 1,10/30/2018,Active,vel pede morbi porttitor lorem id
47,Cyber,Det 11,8/11/2022,Active,dis parturient montes nascetur ridiculus
48,Physical,Det 3,3/10/2021,Active,et eros vestibulum ac est
49,Information,AFSPC,7/19/2018,Closed,tortor risus dapibus augue
50,Physical,Det 5,12/16/2020,Active,ac neque duis bibendum
51,Cyber,AFMC,3/6/2018,Active,nulla sed accumsan felis ut
52,Information,AFSOC,9/22/2019,Active,quis lectus suspendisse potenti
53,Physical,Det 4,3/10/2018,Active,rutrum neque aenean auctor gravida sem
54,Personnel,AMC,9/22/2019,Closed,ultrices phasellus id sapien in sapien
55,Physical,ACC,3/4/2022,Active,pellentesque at nulla suspendisse potenti
56,Cyber,AFMC,2/15/2020,Closed,convallis duis consequat dui nec
57,Information,Det 6,3/7/2022,Closed,aenean sit amet justo morbi
58,Cyber,Det 6,2/27/2021,Active,semper interdum mauris ullamcorper
59,Information,AFMC,5/16/2020,Closed,dui maecenas tristique est et
60,Physical,USAFE,3/23/2020,Closed,cursus urna ut tellus nulla ut
61,Physical,AFSOC,6/21/2020,Active,scelerisque quam turpis adipiscing lorem vitae
62,Physical,Det 2,8/7/2020,Active,amet eleifend pede libero quis
63,Physical,Det 8,6/20/2020,Closed,felis sed lacus morbi
64,Personnel,Det 7,5/19/2019,Closed,rhoncus sed vestibulum sit amet
65,Information,AFMC,8/24/2022,Closed,nonummy integer non velit donec
66,Information,Det 7,9/29/2020,Active,vel sem sed sagittis
67,Physical,AFSOC,3/6/2020,Active,maecenas ut massa quis augue luctus
68,Cyber,PACAF,12/30/2020,Closed,elementum in hac habitasse platea dictumst
69,Physical,Det 5,5/24/2022,Closed,ante vestibulum ante ipsum
70,Personnel,AFGSC,2/7/2021,Closed,in sapien iaculis congue vivamus
71,Cyber,Det 8,7/30/2021,Closed,maecenas tristique est et tempus semper
72,Cyber,AFSPC,10/1/2019,Active,id turpis integer aliquet massa id
73,Personnel,AFSOC,12/6/2020,Active,amet eros suspendisse accumsan tortor
74,Cyber,Det 11,9/28/2020,Active,cubilia curae nulla dapibus
75,Cyber,Det 9,5/6/2022,Active,turpis nec euismod scelerisque
76,Cyber,Det 2,9/8/2022,Closed,potenti nullam porttitor lacus at
77,Physical,Det 11,2/7/2020,Active,est et tempus semper est quam
78,Physical,AMC,1/13/2019,Closed,convallis nunc proin at turpis
79,Cyber,Det 8,8/1/2022,Closed,hac habitasse platea dictumst
80,Physical,PACAF,1/11/2023,Active,lobortis convallis tortor risus dapibus
81,Personnel,Det 6,11/13/2020,Closed,ipsum primis in faucibus orci
82,Cyber,AFSOC,12/22/2021,Closed,tincidunt ante vel ipsum praesent blandit
83,Physical,AFMC,7/9/2020,Closed,luctus et ultrices posuere
84,Information,Det 6,3/27/2022,Closed,leo maecenas pulvinar lobortis
85,Cyber,AMC,3/15/2018,Active,gravida sem praesent id
86,Information,AFSPC,12/15/2020,Active,id pretium iaculis diam
87,Personnel,AFMC,10/23/2022,Active,commodo vulputate justo in blandit
88,Cyber,Det 3,2/24/2023,Closed,orci luctus et ultrices
89,Cyber,Det 4,8/18/2021,Active,ornare consequat lectus in
90,Cyber,Det 2,8/19/2018,Closed,erat quisque erat eros
91,Physical,Det 11,1/16/2020,Closed,blandit lacinia erat vestibulum
92,Physical,PACAF,7/1/2019,Active,magna vulputate luctus cum sociis
93,Cyber,AMC,5/29/2019,Closed,posuere metus vitae ipsum
94,Information,USAFE,4/25/2021,Active,pulvinar lobortis est phasellus
95,Personnel,AFMC,3/25/2020,Active,feugiat et eros vestibulum ac est
96,Information,AMC,5/23/2020,Closed,elementum eu interdum eu
97,Personnel,Det 7,9/16/2020,Closed,quam pede lobortis ligula sit
98,Physical,Det 11,9/8/2022,Active,mi pede malesuada in
99,Personnel,PACAF,1/20/2018,Active,lorem quisque ut erat
100,Information,AFGSC,6/10/2021,Active,aenean fermentum donec ut mauris
101,Physical,Det 2,3/5/2019,Active,justo eu massa donec dapibus
102,Physical,Det 1,11/30/2018,Closed,ridiculus mus vivamus vestibulum sagittis sapien
103,Physical,Det 1,3/30/2022,Closed,nec molestie sed justo pellentesque viverra
104,Physical,Det 8,3/28/2019,Active,tortor risus dapibus augue
105,Information,Det 7,11/2/2021,Active,ut nulla sed accumsan felis
106,Personnel,Det 4,3/2/2018,Closed,a libero nam dui proin leo
107,Personnel,AFMC,6/22/2018,Active,sapien arcu sed augue aliquam
108,Personnel,Det 4,11/15/2022,Active,cum sociis natoque penatibus et
109,Cyber,Det 11,10/10/2018,Closed,bibendum imperdiet nullam orci pede
110,Personnel,Det 1,3/17/2021,Closed,elit ac nulla sed
111,Personnel,Det 1,2/14/2021,Active,in sagittis dui vel nisl
112,Physical,Det 7,8/13/2020,Closed,ut massa volutpat convallis morbi odio
113,Information,Det 11,2/2/2020,Active,aenean lectus pellentesque eget
114,Information,Det 5,10/28/2021,Closed,ac consequat metus sapien
115,Cyber,USAFE,2/23/2019,Active,nibh quisque id justo
116,Physical,AFGSC,2/3/2020,Active,velit id pretium iaculis
117,Cyber,AFMC,10/1/2018,Active,enim in tempor turpis
118,Personnel,ACC,3/19/2020,Active,lacinia eget tincidunt eget tempus vel
119,Information,ACC,11/21/2021,Closed,sit amet eleifend pede
120,Physical,Det 2,2/14/2019,Active,felis fusce posuere felis
121,Cyber,Det 1,1/26/2022,Active,congue diam id ornare
122,Physical,Det 3,5/22/2022,Closed,sapien iaculis congue vivamus metus arcu
123,Cyber,Det 9,12/4/2021,Closed,in ante vestibulum ante ipsum
124,Information,USAFE,4/1/2020,Active,duis mattis egestas metus
125,Physical,Det 2,3/7/2019,Active,morbi a ipsum integer a nibh
126,Physical,ACC,4/4/2022,Closed,nulla ut erat id
127,Information,ACC,4/13/2018,Closed,vehicula condimentum curabitur in libero
128,Cyber,Det 2,7/2/2021,Active,tincidunt lacus at velit vivamus vel
129,Personnel,AMC,3/31/2018,Closed,sodales sed tincidunt eu felis fusce
130,Physical,Det 9,11/23/2019,Active,aliquet pulvinar sed nisl nunc rhoncus
131,Information,Det 5,10/29/2020,Active,velit donec diam neque
132,Cyber,AFMC,6/7/2021,Active,mauris vulputate elementum nullam varius nulla
133,Cyber,AFGSC,12/29/2018,Closed,nisi venenatis tristique fusce congue diam
134,Cyber,ACC,6/10/2018,Closed,a ipsum integer a
135,Information,AMC,10/13/2018,Closed,vivamus metus arcu adipiscing molestie hendrerit
136,Physical,Det 3,9/15/2018,Closed,vel lectus in quam fringilla
137,Information,USAFE,3/28/2021,Active,ligula pellentesque ultrices phasellus id sapien
138,Physical,Det 11,1/7/2018,Closed,in leo maecenas pulvinar lobortis
139,Physical,Det 1,9/10/2022,Active,lectus aliquam sit amet diam in
140,Personnel,AFMC,12/2/2019,Closed,blandit non interdum in
141,Cyber,AFMC,3/31/2021,Closed,sit amet nulla quisque arcu
142,Personnel,Det 4,3/1/2022,Closed,lacus at turpis donec posuere metus
143,Information,AFMC,5/21/2020,Active,arcu adipiscing molestie hendrerit at vulputate
144,Physical,Det 3,11/22/2018,Active,quis odio consequat varius
145,Personnel,Det 8,9/24/2021,Closed,velit vivamus vel nulla eget
146,Information,Det 1,10/18/2020,Closed,ac neque duis bibendum morbi non
147,Cyber,Det 8,6/27/2018,Active,quis tortor id nulla ultrices
148,Personnel,Det 3,7/15/2021,Active,accumsan tellus nisi eu orci
149,Cyber,AFGSC,12/6/2022,Active,mollis molestie lorem quisque ut erat
150,Personnel,Det 4,2/2/2021,Active,ipsum aliquam non mauris
151,Information,Det 3,9/8/2022,Active,tortor duis mattis egestas
152,Cyber,Det 3,10/11/2019,Closed,orci luctus et ultrices
153,Information,AFGSC,10/26/2022,Active,at turpis donec posuere metus vitae
154,Information,Det 6,10/1/2021,Active,amet sem fusce consequat
155,Personnel,Det 8,3/27/2022,Active,ullamcorper purus sit amet
156,Cyber,Det 5,10/1/2020,Closed,elementum nullam varius nulla facilisi cras
157,Cyber,Det 2,11/16/2020,Closed,maecenas pulvinar lobortis est phasellus sit
158,Physical,Det 2,9/23/2019,Closed,proin at turpis a pede
159,Information,Det 11,10/13/2022,Closed,ipsum primis in faucibus
160,Physical,Det 7,4/28/2018,Active,in purus eu magna vulputate luctus
161,Physical,Det 3,6/29/2021,Closed,faucibus orci luctus et ultrices
162,Physical,AFSOC,8/12/2019,Closed,semper porta volutpat quam pede lobortis
163,Cyber,PACAF,1/8/2020,Active,pellentesque eget nunc donec
164,Personnel,AMC,12/2/2022,Closed,amet justo morbi ut odio
165,Physical,Det 2,1/1/2023,Active,commodo vulputate justo in blandit
166,Personnel,Det 8,6/25/2021,Closed,ligula nec sem duis aliquam
167,Information,AFSPC,3/27/2019,Active,vestibulum quam sapien varius ut blandit
168,Cyber,Det 6,10/31/2018,Active,quam fringilla rhoncus mauris enim leo
169,Cyber,AFSOC,7/18/2019,Closed,maecenas ut massa quis augue
170,Cyber,Det 11,4/23/2022,Active,est lacinia nisi venenatis tristique fusce
171,Personnel,Det 6,5/11/2019,Active,blandit nam nulla integer pede justo
172,Information,Det 5,9/16/2022,Active,augue quam sollicitudin vitae consectetuer eget
173,Information,ACC,6/15/2019,Closed,quam nec dui luctus rutrum
174,Information,AFMC,2/5/2018,Active,vel nisl duis ac
175,Physical,Det 6,10/10/2020,Closed,magna ac consequat metus sapien
176,Physical,Det 3,12/8/2021,Active,nisi at nibh in hac habitasse
177,Personnel,Det 8,10/24/2018,Closed,scelerisque quam turpis adipiscing lorem
178,Personnel,AFSPC,4/29/2020,Closed,tincidunt eget tempus vel pede morbi
179,Physical,Det 5,11/28/2020,Active,pharetra magna ac consequat metus
180,Cyber,Det 11,8/1/2018,Closed,rutrum nulla tellus in sagittis dui
181,Information,AFSPC,6/21/2019,Closed,quis augue luctus tincidunt
182,Personnel,AFSOC,9/5/2019,Closed,eget tincidunt eget tempus vel
183,Personnel,Det 7,7/19/2021,Closed,blandit non interdum in ante vestibulum
184,Cyber,AFMC,9/18/2020,Active,rutrum ac lobortis vel dapibus
185,Cyber,Det 2,8/23/2018,Active,adipiscing molestie hendrerit at vulputate vitae
186,Information,Det 2,3/8/2018,Closed,pellentesque ultrices mattis odio donec vitae
187,Personnel,AFSOC,12/30/2018,Closed,in ante vestibulum ante ipsum primis
188,Cyber,Det 8,11/1/2018,Closed,nunc rhoncus dui vel sem sed
189,Personnel,Det 9,11/14/2019,Active,ultrices phasellus id sapien in sapien
190,Information,Det 3,1/5/2019,Active,ridiculus mus vivamus vestibulum sagittis sapien
191,Information,Det 1,7/8/2021,Closed,nulla pede ullamcorper augue a suscipit
192,Cyber,ACC,7/24/2018,Closed,at feugiat non pretium quis lectus
193,Physical,AFSPC,10/28/2022,Closed,ridiculus mus vivamus vestibulum sagittis
194,Information,AFSOC,1/24/2022,Active,pellentesque quisque porta volutpat erat
195,Physical,Det 5,12/31/2021,Closed,vivamus tortor duis mattis egestas
196,Information,AMC,8/1/2021,Active,semper sapien a libero nam
197,Cyber,AFGSC,10/19/2018,Closed,magna ac consequat metus sapien ut
198,Physical,Det 8,10/31/2020,Active,nullam varius nulla facilisi
199,Cyber,AFSOC,5/10/2020,Active,massa id lobortis convallis
200,Information,AFSPC,1/2/2020,Active,habitasse platea dictumst etiam faucibus cursus
201,Cyber,Det 8,7/26/2018,Active,ac enim in tempor turpis nec
202,Physical,USAFE,5/30/2021,Closed,sed augue aliquam erat volutpat in
203,Personnel,AFMC,12/27/2021,Active,at nunc commodo placerat praesent blandit
204,Cyber,Det 5,7/18/2021,Active,ipsum primis in faucibus orci luctus
205,Cyber,AFGSC,7/14/2021,Closed,lacus at velit vivamus
206,Information,USAFE,1/3/2019,Active,nunc purus phasellus in felis
207,Information,AMC,3/11/2018,Active,luctus rutrum nulla tellus
208,Physical,Det 9,7/17/2020,Closed,a feugiat et eros vestibulum ac
209,Personnel,Det 2,4/13/2021,Active,tortor id nulla ultrices aliquet maecenas
210,Physical,Det 3,7/13/2021,Closed,eget nunc donec quis orci
211,Personnel,PACAF,2/16/2022,Active,et ultrices posuere cubilia curae donec
212,Cyber,AFSOC,3/10/2019,Closed,turpis elementum ligula vehicula
213,Cyber,Det 3,7/29/2022,Closed,ultrices posuere cubilia curae
214,Physical,AMC,11/23/2020,Closed,pretium quis lectus suspendisse potenti in
215,Personnel,Det 5,4/4/2020,Closed,justo lacinia eget tincidunt
216,Cyber,AFSOC,12/12/2020,Active,donec posuere metus vitae ipsum
217,Information,PACAF,1/25/2021,Closed,nulla sed vel enim sit
218,Personnel,ACC,7/25/2021,Active,id luctus nec molestie
219,Information,Det 7,7/31/2018,Active,in hac habitasse platea dictumst maecenas
220,Physical,USAFE,7/7/2019,Active,quis justo maecenas rhoncus aliquam lacus
221,Cyber,Det 4,7/17/2021,Closed,vulputate nonummy maecenas tincidunt lacus
222,Cyber,Det 1,3/9/2018,Active,lectus in est risus
223,Information,Det 11,8/11/2019,Closed,erat id mauris vulputate
224,Information,Det 3,7/12/2021,Active,donec semper sapien a libero
225,Cyber,AFSPC,7/7/2020,Active,laoreet ut rhoncus aliquet
226,Cyber,Det 7,8/13/2018,Active,lacus at velit vivamus vel nulla
227,Cyber,Det 3,1/10/2018,Closed,interdum eu tincidunt in leo
228,Information,AFSPC,2/5/2018,Closed,in sagittis dui vel nisl duis
229,Cyber,AFGSC,10/9/2020,Active,et magnis dis parturient montes nascetur
230,Personnel,AFSPC,9/2/2020,Closed,ultrices aliquet maecenas leo
231,Cyber,Det 1,10/30/2019,Closed,interdum venenatis turpis enim blandit
232,Information,AFGSC,8/17/2020,Active,habitasse platea dictumst etiam
233,Personnel,Det 4,5/10/2019,Active,lacinia eget tincidunt eget
234,Cyber,AFSOC,4/29/2020,Closed,vivamus vel nulla eget
235,Physical,AMC,11/14/2022,Active,amet sem fusce consequat nulla nisl
236,Cyber,AFSPC,2/2/2019,Active,eget nunc donec quis
237,Information,Det 8,6/30/2020,Active,curae mauris viverra diam vitae
238,Physical,AFSOC,7/20/2020,Closed,posuere nonummy integer non
239,Information,AFSPC,7/17/2018,Active,erat volutpat in congue
240,Information,Det 9,3/2/2018,Closed,augue quam sollicitudin vitae consectetuer
241,Cyber,Det 8,6/15/2020,Active,et tempus semper est quam pharetra
242,Physical,Det 6,3/11/2020,Closed,sagittis nam congue risus semper
243,Personnel,Det 1,2/22/2022,Active,elementum ligula vehicula consequat morbi
244,Physical,AFGSC,8/25/2019,Active,amet consectetuer adipiscing elit proin
245,Information,Det 6,12/8/2018,Closed,id lobortis convallis tortor risus
246,Information,USAFE,7/4/2022,Closed,rutrum nulla nunc purus
247,Cyber,Det 7,10/9/2021,Closed,ridiculus mus vivamus vestibulum sagittis sapien
248,Information,Det 2,8/17/2021,Active,sit amet eleifend pede libero
249,Personnel,AFMC,6/1/2021,Closed,neque vestibulum eget vulputate ut ultrices
250,Personnel,Det 7,8/19/2018,Active,dignissim vestibulum vestibulum ante ipsum
251,Personnel,Det 11,10/28/2019,Active,quisque ut erat curabitur gravida
252,Information,Det 8,7/2/2020,Active,turpis sed ante vivamus tortor duis
253,Physical,ACC,2/28/2019,Active,eros viverra eget congue
254,Cyber,Det 5,10/8/2022,Closed,porttitor lorem id ligula suspendisse ornare
255,Information,Det 2,5/25/2019,Closed,vestibulum ante ipsum primis
256,Cyber,USAFE,11/21/2019,Active,odio condimentum id luctus nec molestie
257,Cyber,Det 9,12/3/2020,Active,eget vulputate ut ultrices
258,Physical,Det 2,2/1/2018,Active,nibh in hac habitasse platea dictumst
259,Cyber,AFGSC,5/2/2019,Active,interdum in ante vestibulum
260,Personnel,PACAF,8/7/2021,Closed,rutrum nulla nunc purus phasellus in
261,Physical,PACAF,2/8/2021,Closed,quam sapien varius ut blandit non
262,Information,Det 11,1/22/2020,Closed,eget vulputate ut ultrices vel
263,Information,Det 5,2/8/2018,Active,arcu libero rutrum ac lobortis
264,Cyber,ACC,9/3/2018,Active,donec pharetra magna vestibulum aliquet ultrices
265,Personnel,Det 3,12/22/2022,Active,id justo sit amet sapien dignissim
266,Personnel,PACAF,7/26/2021,Closed,pellentesque at nulla suspendisse
267,Personnel,ACC,6/8/2022,Closed,non lectus aliquam sit amet
268,Physical,Det 2,7/17/2022,Closed,id sapien in sapien iaculis congue
269,Cyber,ACC,7/5/2021,Closed,sociis natoque penatibus et
270,Information,AFGSC,1/6/2022,Closed,porta volutpat quam pede lobortis ligula
271,Physical,PACAF,11/7/2020,Active,donec diam neque vestibulum eget vulputate
272,Cyber,AFSPC,7/28/2021,Closed,in ante vestibulum ante
273,Personnel,Det 9,3/30/2021,Active,sapien dignissim vestibulum vestibulum ante
274,Personnel,Det 9,10/11/2020,Closed,luctus et ultrices posuere cubilia
275,Cyber,AFMC,2/4/2019,Closed,dapibus duis at velit eu
276,Cyber,Det 7,1/9/2018,Closed,molestie sed justo pellentesque viverra
277,Cyber,Det 6,11/10/2021,Active,congue risus semper porta
278,Personnel,USAFE,7/3/2018,Closed,nullam varius nulla facilisi cras
279,Physical,PACAF,6/17/2018,Closed,nulla quisque arcu libero rutrum
280,Personnel,USAFE,12/28/2018,Closed,morbi odio odio elementum eu
281,Personnel,Det 8,6/13/2020,Active,in ante vestibulum ante ipsum
282,Cyber,Det 6,8/18/2018,Active,etiam faucibus cursus urna ut tellus
283,Information,Det 3,8/29/2022,Closed,hendrerit at vulputate vitae
284,Physical,Det 8,1/31/2020,Active,commodo placerat praesent blandit
285,Information,Det 1,3/16/2021,Closed,dui luctus rutrum nulla tellus in
286,Cyber,Det 8,7/15/2019,Closed,tempus sit amet sem
287,Physical,AMC,10/28/2022,Active,habitasse platea dictumst aliquam augue
288,Physical,Det 2,12/26/2022,Closed,faucibus orci luctus et ultrices
289,Personnel,Det 4,12/11/2018,Active,non velit nec nisi vulputate
290,Personnel,Det 11,11/23/2022,Active,ultricies eu nibh quisque id
291,Cyber,Det 1,7/23/2022,Closed,orci vehicula condimentum curabitur in
292,Physical,Det 8,8/5/2020,Active,mauris viverra diam vitae quam suspendisse
293,Information,Det 8,6/27/2020,Closed,felis sed interdum venenatis
294,Physical,Det 2,8/22/2022,Active,pellentesque volutpat dui maecenas
295,Cyber,AFSPC,3/20/2021,Active,in faucibus orci luctus et ultrices
296,Personnel,ACC,4/13/2022,Closed,curabitur gravida nisi at nibh in
297,Information,AFSPC,3/4/2022,Closed,nisl nunc rhoncus dui vel
298,Cyber,AFSOC,1/8/2023,Active,lorem integer tincidunt ante vel ipsum
299,Cyber,AFMC,12/6/2022,Active,vitae mattis nibh ligula nec
300,Cyber,Det 1,2/23/2020,Active,porta volutpat quam pede lobortis
301,Personnel,USAFE,11/12/2019,Closed,sapien dignissim vestibulum vestibulum
302,Information,Det 6,5/18/2021,Closed,dictumst morbi vestibulum velit
303,Cyber,ACC,11/29/2018,Active,id nulla ultrices aliquet maecenas leo
304,Physical,Det 4,6/1/2021,Closed,sagittis nam congue risus
305,Physical,Det 3,10/13/2018,Closed,pede morbi porttitor lorem
306,Physical,Det 7,8/11/2018,Closed,ipsum dolor sit amet
307,Cyber,AMC,4/26/2021,Closed,augue luctus tincidunt nulla
308,Cyber,Det 8,11/9/2020,Closed,at diam nam tristique tortor
309,Information,Det 6,3/25/2020,Active,sem fusce consequat nulla nisl nunc
310,Cyber,AFGSC,5/18/2021,Closed,cum sociis natoque penatibus et magnis
311,Physical,AFMC,4/21/2021,Active,sodales sed tincidunt eu felis
312,Personnel,Det 11,3/4/2021,Active,id turpis integer aliquet massa id
313,Information,Det 2,5/10/2019,Active,eget elit sodales scelerisque mauris sit
314,Information,PACAF,1/1/2023,Active,lectus in quam fringilla rhoncus mauris
315,Information,Det 2,1/19/2019,Active,varius integer ac leo pellentesque ultrices
316,Physical,Det 8,2/10/2023,Active,pellentesque quisque porta volutpat
317,Information,Det 2,7/29/2022,Closed,ante ipsum primis in
318,Physical,ACC,4/11/2019,Active,dolor sit amet consectetuer adipiscing
319,Physical,Det 2,6/7/2018,Closed,purus phasellus in felis donec
320,Physical,ACC,1/24/2021,Closed,purus sit amet nulla
321,Information,Det 5,1/23/2018,Closed,sit amet nunc viverra dapibus
322,Physical,AFSPC,4/20/2018,Active,cubilia curae nulla dapibus dolor vel
323,Information,Det 3,3/1/2018,Active,velit nec nisi vulputate nonummy maecenas
324,Cyber,AFMC,5/21/2021,Closed,in est risus auctor sed tristique
325,Personnel,Det 6,8/22/2018,Active,blandit nam nulla integer
326,Personnel,AMC,5/9/2021,Closed,lobortis vel dapibus at diam
327,Physical,Det 9,9/29/2020,Closed,aliquet pulvinar sed nisl
328,Information,AFGSC,12/30/2022,Closed,sodales scelerisque mauris sit amet
329,Personnel,Det 5,1/24/2021,Active,nulla nisl nunc nisl duis
330,Physical,Det 2,5/5/2021,Closed,turpis a pede posuere nonummy
331,Cyber,Det 3,12/22/2018,Active,pede justo lacinia eget
332,Information,Det 6,8/26/2019,Closed,consequat dui nec nisi volutpat eleifend
333,Cyber,AFSOC,8/15/2018,Active,quis tortor id nulla ultrices
334,Information,Det 6,1/9/2023,Closed,sapien sapien non mi integer ac
335,Personnel,Det 4,11/14/2019,Closed,aliquam augue quam sollicitudin vitae consectetuer
336,Cyber,Det 7,5/20/2018,Active,quis odio consequat varius
337,Cyber,AFSOC,11/6/2018,Closed,nulla ac enim in tempor
338,Information,Det 5,1/1/2018,Closed,erat quisque erat eros viverra eget
339,Personnel,AFSOC,9/15/2019,Active,leo odio porttitor id consequat in
340,Information,AMC,6/15/2021,Active,vel enim sit amet nunc viverra
341,Cyber,PACAF,11/21/2022,Closed,erat id mauris vulputate
342,Personnel,AFSPC,2/27/2023,Active,amet eros suspendisse accumsan tortor quis
343,Physical,Det 6,4/4/2018,Active,at velit vivamus vel nulla
344,Information,Det 9,11/26/2019,Closed,adipiscing molestie hendrerit at
345,Physical,AFGSC,8/4/2020,Closed,vitae nisi nam ultrices libero non
346,Cyber,AFSPC,9/14/2019,Closed,sem fusce consequat nulla nisl
347,Cyber,Det 1,6/8/2020,Closed,lorem ipsum dolor sit amet
348,Information,Det 1,4/28/2022,Closed,luctus tincidunt nulla mollis molestie
349,Physical,Det 1,12/2/2022,Active,et ultrices posuere cubilia curae mauris
350,Information,Det 5,2/8/2021,Active,mauris eget massa tempor
351,Cyber,Det 6,3/18/2018,Closed,gravida sem praesent id massa
352,Cyber,Det 5,10/22/2019,Closed,eget rutrum at lorem integer
353,Physical,Det 8,5/3/2022,Closed,et tempus semper est
354,Cyber,AMC,2/18/2023,Active,posuere cubilia curae mauris viverra diam
355,Cyber,AFGSC,12/6/2022,Active,adipiscing lorem vitae mattis nibh
356,Information,Det 9,3/1/2020,Active,tristique fusce congue diam id ornare
357,Cyber,Det 11,11/11/2020,Closed,curae donec pharetra magna vestibulum
358,Cyber,Det 1,4/15/2020,Active,justo sit amet sapien dignissim
359,Personnel,Det 2,8/11/2019,Active,libero nullam sit amet
360,Physical,AFSPC,4/13/2022,Active,scelerisque mauris sit amet eros
361,Personnel,Det 5,5/13/2021,Active,ligula suspendisse ornare consequat
362,Personnel,Det 8,2/28/2020,Closed,nunc viverra dapibus nulla suscipit
363,Personnel,Det 6,11/26/2020,Closed,pellentesque ultrices phasellus id sapien
364,Cyber,Det 7,10/28/2018,Active,morbi sem mauris laoreet ut rhoncus
365,Information,Det 6,8/18/2019,Closed,eu nibh quisque id
366,Information,AFSOC,8/27/2018,Closed,ut nunc vestibulum ante ipsum
367,Information,Det 2,9/30/2019,Active,vivamus vel nulla eget eros elementum
368,Personnel,Det 7,12/27/2018,Active,ante ipsum primis in faucibus
369,Cyber,Det 4,9/4/2018,Closed,nec dui luctus rutrum
370,Cyber,Det 11,10/19/2021,Active,amet sapien dignissim vestibulum vestibulum ante
371,Personnel,Det 9,8/7/2019,Active,sit amet nunc viverra
372,Personnel,USAFE,4/13/2021,Active,consequat dui nec nisi
373,Physical,Det 3,6/18/2021,Closed,congue diam id ornare imperdiet
374,Cyber,AFGSC,12/26/2020,Active,nulla pede ullamcorper augue a
375,Cyber,AFSOC,9/30/2020,Active,volutpat sapien arcu sed augue
376,Personnel,Det 5,2/10/2022,Closed,in est risus auctor sed
377,Physical,ACC,2/17/2023,Closed,pede ac diam cras pellentesque volutpat
378,Physical,PACAF,9/19/2021,Closed,interdum in ante vestibulum
379,Personnel,AFGSC,11/23/2019,Active,sed augue aliquam erat
380,Personnel,Det 4,6/21/2021,Closed,sit amet consectetuer adipiscing elit proin
